Time, Gaze, Attention Score, Blink
3.60, Looking Straight, 100.00, 4.345036268234253
3.65, Looking Straight, 100.00, 6.760712623596191
3.69, Looking Straight, 100.00, 6.954005241394043
3.70, Looking Straight, 100.00, 7.162667751312256
3.75, Looking Straight, 100.00, 7.356639385223389
3.77, Looking Straight, 100.00, 10.0363609790802
3.82, Looking Straight, 100.00, 10.504831314086914
3.83, Looking Straight, 100.00, 11.172605037689209
3.88, Looking Straight, 100.00, 11.30450701713562
3.89, Looking Straight, 100.00, 11.912307500839233
3.94, Looking Straight, 100.00, 12.091129779815674
3.96, Looking Straight, 100.00, 13.89938235282898
4.03, Looking Straight, 100.00, 14.568484783172607
4.04, Looking Straight, 100.00, 14.636824131011963
4.09, Looking Straight, 100.00, 14.713760137557983
4.11, Looking Straight, 100.00, 16.296910524368286
4.15, Looking Straight, 100.00, 37.59600639343262
4.17, Looking Straight, 100.00, 40.201595306396484
4.22, Looking Straight, 100.00, 42.74713754653931
4.23, Looking Straight, 100.00, 43.06542634963989
4.28, Looking Straight, 100.00, 45.48484706878662
4.29, Looking Straight, 100.00, 67.28662657737732
4.35, Looking Straight, 100.00, 84.3541145324707
4.36, Looking Straight, 100.00, 85.38374495506287
4.42, Looking Straight, 100.00, N/A
4.44, Looking Straight, 100.00, N/A
4.49, Looking Straight, 100.00, N/A
4.50, Looking Straight, 100.00, N/A
4.55, Looking Straight, 100.00, N/A
4.57, Looking Straight, 100.00, N/A
4.62, Looking Straight, 100.00, N/A
4.63, Looking Straight, 100.00, N/A
4.69, Looking Straight, 100.00, N/A
4.70, Looking Straight, 100.00, N/A
4.76, Looking Straight, 100.00, N/A
4.77, Looking Straight, 100.00, N/A
4.83, Looking Straight, 100.00, N/A
4.84, Looking Straight, 100.00, N/A
4.89, Looking Straight, 100.00, N/A
4.90, Looking Straight, 100.00, N/A
4.95, Looking Straight, 100.00, N/A
4.97, Looking Straight, 100.00, N/A
5.02, Looking Straight, 100.00, N/A
5.03, Looking Straight, 100.00, N/A
5.08, Looking Straight, 100.00, N/A
5.10, Looking Straight, 100.00, N/A
5.16, Looking Straight, 100.00, N/A
5.18, Looking Straight, 100.00, N/A
5.22, Looking Straight, 100.00, N/A
5.24, Looking Straight, 100.00, N/A
5.29, Looking Straight, 100.00, N/A
5.30, Looking Straight, 100.00, N/A
5.35, Looking Straight, 100.00, N/A
5.37, Looking Straight, 100.00, N/A
5.42, Looking Straight, 100.00, N/A
5.43, Looking Straight, 100.00, N/A
5.48, Looking Straight, 100.00, N/A
5.49, Looking Straight, 100.00, N/A
5.56, Looking Straight, 100.00, N/A
5.58, Looking Straight, 100.00, N/A
5.63, Looking Straight, 100.00, N/A
5.65, Looking Straight, 100.00, N/A
5.69, Looking Straight, 100.00, N/A
5.70, Looking Straight, 100.00, N/A
5.75, Looking Straight, 100.00, N/A
5.77, Looking Straight, 100.00, N/A
5.82, Looking Straight, 100.00, N/A
5.83, Looking Straight, 100.00, N/A
5.88, Looking Straight, 100.00, N/A
5.90, Looking Straight, 100.00, N/A
5.96, Looking Straight, 100.00, N/A
5.97, Looking Straight, 100.00, N/A
6.02, Looking Straight, 100.00, N/A
6.04, Looking Straight, 100.00, N/A
6.09, Looking Straight, 100.00, N/A
6.11, Looking Straight, 100.00, N/A
6.15, Looking Straight, 100.00, N/A
6.17, Looking Straight, 100.00, N/A
6.22, Looking Straight, 100.00, N/A
6.23, Looking Straight, 100.00, N/A
6.28, Looking Straight, 100.00, N/A
6.30, Looking Straight, 100.00, N/A
6.36, Looking Straight, 100.00, N/A
6.38, Looking Straight, 100.00, N/A
6.42, Looking Straight, 100.00, N/A
6.44, Looking Straight, 100.00, N/A
6.49, Looking Straight, 100.00, N/A
6.50, Looking Straight, 100.00, N/A
6.55, Looking Straight, 100.00, N/A
6.57, Looking Straight, 100.00, N/A
6.62, Looking Straight, 100.00, N/A
6.64, Looking Straight, 100.00, N/A
6.70, Looking Straight, 100.00, N/A
6.71, Looking Straight, 100.00, N/A
6.76, Looking Straight, 100.00, N/A
6.78, Looking Straight, 100.00, N/A
6.83, Looking Straight, 100.00, N/A
6.84, Looking Straight, 100.00, N/A
6.89, Looking Straight, 100.00, N/A
6.90, Looking Straight, 100.00, N/A
6.96, Looking Straight, 100.00, N/A
6.97, Looking Straight, 100.00, N/A
7.02, Looking Straight, 100.00, N/A
7.03, Looking Straight, 100.00, N/A
7.10, Looking Straight, 100.00, N/A
7.11, Looking Straight, 100.00, N/A
7.16, Looking Straight, 100.00, N/A
7.18, Looking Straight, 100.00, N/A
7.23, Looking Straight, 100.00, N/A
7.24, Looking Straight, 100.00, N/A
7.29, Looking Straight, 100.00, N/A
7.30, Looking Straight, 100.00, N/A
7.36, Looking Straight, 100.00, N/A
7.37, Looking Straight, 100.00, N/A
7.42, Looking Straight, 100.00, N/A
7.43, Looking Straight, 100.00, N/A
7.50, Looking Straight, 100.00, N/A
7.51, Looking Straight, 100.00, N/A
7.56, Looking Straight, 100.00, N/A
7.57, Looking Straight, 100.00, N/A
7.62, Looking Straight, 100.00, N/A
7.64, Looking Straight, 100.00, N/A
7.69, Looking Straight, 100.00, N/A
7.70, Looking Straight, 100.00, N/A
7.75, Looking Straight, 100.00, N/A
7.76, Looking Straight, 100.00, N/A
7.82, Looking Straight, 100.00, N/A
7.83, Looking Straight, 100.00, N/A
7.90, Looking Straight, 100.00, N/A
7.91, Looking Straight, 100.00, N/A
7.96, Looking Straight, 100.00, N/A
7.97, Looking Straight, 100.00, N/A
8.02, Looking Straight, 100.00, N/A
8.04, Looking Straight, 100.00, N/A
8.09, Looking Straight, 100.00, N/A
8.10, Looking Straight, 100.00, N/A
8.15, Looking Straight, 100.00, N/A
8.17, Looking Straight, 100.00, N/A
8.22, Looking Straight, 100.00, N/A
8.23, Looking Straight, 100.00, N/A
8.29, Looking Straight, 100.00, N/A
8.31, Looking Straight, 100.00, N/A
8.36, Looking Right, 100.00, N/A
8.38, Looking Right, 100.00, N/A
8.43, Looking Right, 100.00, N/A
8.45, Looking Right, 99.99, N/A
8.49, Looking Right, 99.99, N/A
8.50, Looking Right, 99.98, N/A
8.55, Looking Right, 99.97, N/A
8.57, Looking Right, 99.96, N/A
8.63, Looking Right, 99.95, N/A
8.65, Looking Right, 99.93, N/A
8.70, Looking Right, 99.91, N/A
8.71, Looking Right, 99.90, N/A
8.76, Looking Right, 99.88, N/A
8.78, Looking Right, 99.86, N/A
8.82, Looking Right, 99.83, N/A
8.84, Looking Right, 99.81, N/A
8.89, Looking Right, 99.78, N/A
8.90, Looking Right, 99.76, N/A
8.95, Looking Right, 99.73, N/A
8.97, Looking Right, 99.70, N/A
9.03, Looking Right, 99.66, N/A
9.05, Looking Right, 99.63, N/A
9.09, Looking Right, 99.59, N/A
9.11, Looking Right, 99.55, N/A
9.16, Looking Right, 99.51, N/A
9.18, Looking Right, 99.47, N/A
9.23, Looking Right, 99.43, N/A
9.24, Looking Right, 99.39, N/A
9.29, Looking Right, 99.34, N/A
9.30, Looking Right, 99.29, N/A
9.35, Looking Right, 99.24, N/A
9.37, Looking Right, 99.19, N/A
9.43, Looking Right, 99.14, N/A
9.45, Looking Right, 99.09, N/A
9.50, Looking Right, 99.03, N/A
9.51, Looking Right, 98.97, N/A
9.56, Looking Right, 98.91, N/A
9.58, Looking Right, 98.85, N/A
9.62, Looking Right, 98.79, N/A
9.64, Looking Right, 98.72, N/A
9.69, Looking Right, 98.66, N/A
9.71, Looking Right, 98.59, N/A
9.75, Looking Right, 98.52, N/A
9.77, Looking Right, 98.45, N/A
9.83, Looking Right, 98.38, N/A
9.85, Looking Right, 98.30, N/A
9.90, Looking Straight, 98.40, N/A
9.91, Looking Straight, 98.50, N/A
9.96, Looking Straight, 98.60, N/A
9.97, Looking Straight, 98.70, N/A
10.02, Looking Straight, 98.80, N/A
10.04, Looking Straight, 98.90, N/A
10.10, Looking Right, 98.82, N/A
10.15, Looking Right, 98.73, N/A
10.17, Looking Right, 98.64, N/A
10.23, Looking Right, 98.54, N/A
10.25, Looking Straight, 98.64, N/A
10.30, Looking Straight, 98.74, N/A
10.31, Looking Straight, 98.84, N/A
10.36, Looking Straight, 98.94, N/A
10.38, Looking Straight, 99.04, N/A
10.42, Looking Straight, 99.14, N/A
10.44, Looking Straight, 99.24, N/A
10.50, Looking Right, 99.14, N/A
10.57, Looking Right, 99.02, N/A
10.59, Looking Right, 98.91, N/A
10.63, Looking Right, 98.80, N/A
10.65, Looking Straight, 98.90, N/A
10.70, Looking Straight, 99.00, N/A
10.71, Looking Straight, 99.10, N/A
10.76, Looking Straight, 99.20, N/A
10.77, Looking Straight, 99.30, N/A
10.82, Looking Right, 99.18, N/A
10.84, Looking Straight, 99.28, N/A
10.89, Looking Straight, 99.38, N/A
10.91, Looking Straight, 99.48, N/A
10.97, Looking Straight, 99.58, N/A
10.98, Looking Straight, 99.68, N/A
11.03, Looking Straight, 99.78, N/A
11.05, Looking Straight, 99.88, N/A
11.10, Looking Straight, 99.98, N/A
11.11, Looking Straight, 100.00, N/A
11.16, Looking Straight, 100.00, N/A
11.17, Looking Straight, 100.00, N/A
11.23, Looking Straight, 100.00, N/A
11.24, Looking Straight, 100.00, N/A
11.29, Looking Right, 99.85, N/A
11.30, Looking Right, 99.71, N/A
11.37, Looking Right, 99.56, N/A
11.44, Looking Right, 99.40, N/A
11.45, Looking Right, 99.25, N/A
11.50, Looking Right, 99.09, N/A
11.51, Looking Straight, 99.19, N/A
11.56, Looking Straight, 99.29, N/A
11.58, Looking Straight, 99.39, N/A
11.63, Looking Straight, 99.49, N/A
11.64, Looking Straight, 99.59, N/A
11.69, Looking Straight, 99.69, N/A
11.71, Looking Straight, 99.79, N/A
11.77, Looking Straight, 99.89, N/A
11.79, Looking Straight, 99.99, N/A
11.83, Looking Straight, 100.00, N/A
11.85, Looking Straight, 100.00, N/A
11.90, Looking Straight, 100.00, N/A
11.91, Looking Straight, 100.00, N/A
11.96, Looking Straight, 100.00, N/A
11.98, Looking Straight, 100.00, N/A
12.03, Looking Straight, 100.00, N/A
12.04, Looking Straight, 100.00, N/A
12.09, Looking Straight, 100.00, N/A
12.11, Looking Straight, 100.00, N/A
12.17, Looking Straight, 100.00, N/A
12.18, Looking Straight, 100.00, N/A
12.24, Looking Straight, 100.00, N/A
12.25, Looking Straight, 100.00, N/A
